symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,hold_days,exit_reason,t_statistic,composite_score,kelly_fraction,regime,composite_proxy,health_proxy
AAPL,2021-04-09,2021-05-04,133.04,130.84,32,-70.53,-0.0166,17,trail_loss,0.3325,0.6173,0.039,NEUTRAL/TRENDING,1.682,-0.277
NBIS,2021-04-29,2021-05-04,67.72,64.1,64,-231.58,-0.0534,3,trail_loss,0.3823,0.8017,0.0396,NEUTRAL/TRENDING,-0.203,0.013
EQT,2021-04-28,2021-05-06,19.53,17.94,219,-347.86,-0.0813,6,trail_loss,0.2275,0.4996,0.0389,NEUTRAL/TRENDING,1.306,0.414
QXO,2021-05-03,2021-05-07,6.99,7.53,611,332.22,0.0778,4,trail_profit,0.3305,0.5478,0.0392,NEUTRAL/TRENDING,-0.244,0.593
WFC,2021-04-16,2021-05-12,43.85,45.62,100,176.72,0.0403,18,momentum_break,0.4025,0.7671,0.0397,NEUTRAL/TRENDING,1.935,0.233
CMCSA,2021-04-16,2021-05-12,55.14,56.67,79,120.61,0.0277,18,trail_profit,0.4318,0.6649,0.0397,NEUTRAL/TRENDING,0.069,0.585
VALE,2021-04-30,2021-05-12,20.05,21.99,211,409.67,0.0968,8,trail_profit,0.262,0.4937,0.0385,NEUTRAL/TRENDING,2.0,1.0
OXY,2021-05-07,2021-05-12,27.43,25.06,157,-371.76,-0.0863,3,trail_loss,0.3987,0.5625,0.0395,NEUTRAL/TRENDING,1.097,-0.647
DVN,2021-04-30,2021-05-13,23.4,24.63,187,229.71,0.0525,9,trail_profit,0.4513,0.7534,0.0399,NEUTRAL/TRENDING,1.64,0.325
SOXS,2021-05-04,2021-05-14,10.34,10.16,420,-77.13,-0.0178,8,trail_loss,0.3926,0.7802,0.0397,NEUTRAL/TRENDING,1.926,0.721
QID,2021-05-04,2021-05-14,24.27,24.48,175,36.71,0.0086,8,trail_profit,0.3114,0.5677,0.0389,NEUTRAL/MIXED,0.953,0.861
SQQQ,2021-05-04,2021-05-14,11.7,11.82,360,41.43,0.0098,8,trail_profit,0.2798,0.5416,0.0386,NEUTRAL/TRENDING,1.038,0.857
HAL,2021-05-06,2021-05-21,22.18,22.44,197,50.98,0.0117,11,momentum_break,0.467,0.8364,0.0398,NEUTRAL/TRENDING,1.918,0.03
QID,2021-05-14,2021-05-21,24.55,24.21,145,-49.4,-0.0139,5,trail_loss,0.5088,0.9022,0.0322,NEUTRAL/TRENDING,1.582,-0.528
SOXS,2021-05-14,2021-05-21,10.41,9.74,332,-222.16,-0.0643,5,trail_loss,0.3443,0.6163,0.0313,NEUTRAL/TRENDING,1.591,-0.718
NVO,2021-05-12,2021-05-27,78.17,79.74,44,68.87,0.02,11,trail_profit,0.3529,0.7647,0.0312,NEUTRAL/TRENDING,1.989,0.36
EWZ,2021-04-28,2021-06-02,36.65,41.2,116,528.31,0.1243,24,profit_target,0.2671,0.497,0.0389,NEUTRAL/MIXED,1.653,1.0
PBR,2021-05-12,2021-06-02,9.13,11.31,377,823.5,0.2392,14,profit_target,0.4113,0.727,0.0312,NEUTRAL/TRENDING,1.996,1.0
GDX,2021-05-14,2021-06-03,37.84,38.05,90,18.7,0.0055,13,trail_profit,0.3388,0.515,0.031,NEUTRAL/TRENDING,1.964,0.278
NVDA,2021-05-21,2021-06-04,600.13,702.79,5,513.29,0.1711,9,profit_target,0.437,0.7968,0.0319,NEUTRAL/TRENDING,1.301,1.0
F,2021-05-21,2021-06-04,13.34,15.95,254,663.45,0.1958,9,profit_target,0.2789,0.6809,0.031,NEUTRAL/TRENDING,1.841,1.0
AAL,2021-05-17,2021-06-07,23.36,24.24,150,131.68,0.0376,14,momentum_break,0.4354,0.8291,0.0319,NEUTRAL/TRENDING,1.835,0.092
NCLH,2021-05-19,2021-06-08,29.07,33.68,119,548.96,0.1587,13,profit_target,0.3646,0.6228,0.0314,NEUTRAL/MIXED,1.111,0.71
CCL,2021-05-17,2021-06-10,27.54,29.91,124,294.33,0.0862,17,trail_profit,0.382,0.6395,0.0313,NEUTRAL/MIXED,1.45,0.12
MRVL,2021-05-27,2021-06-16,48.42,54.07,72,407.01,0.1167,13,profit_target,0.3797,0.7084,0.0317,NEUTRAL/TRENDING,1.838,1.0
QXO,2021-06-07,2021-06-16,7.66,7.12,457,-245.14,-0.07,7,trail_loss,0.2623,0.5852,0.0311,NEUTRAL/TRENDING,1.519,-0.537
SMCI,2021-06-08,2021-06-16,36.89,35.99,96,-86.19,-0.0243,6,trail_loss,0.3881,0.5323,0.0314,NEUTRAL/MIXED,0.722,-0.589
