symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,hold_days,exit_reason,t_statistic,composite_score,kelly_fraction,regime
SQ,2022-02-25,2022-03-03,119.94,117.1,71,-201.32,-0.0236,4,stop_loss,2.0171,0.4653,0.08,NEUTRAL
PYPL,2022-03-02,2022-03-04,106.66,99.71,80,-555.73,-0.0651,2,stop_loss,1.7546,0.4047,0.08,NEUTRAL
AMD,2022-02-28,2022-03-07,123.39,104.62,69,-1295.29,-0.1521,5,stop_loss,1.7196,0.3966,0.08,NEUTRAL
SHOP,2022-03-03,2022-03-07,641.22,564.98,13,-991.18,-0.1189,2,stop_loss,1.6971,0.3914,0.08,NEUTRAL
AVGO,2022-03-04,2022-03-08,596.54,566.51,14,-420.46,-0.0503,2,stop_loss,2.0225,0.4665,0.08,NEUTRAL
GIS,2022-02-24,2022-03-09,65.62,66.57,130,122.95,0.0144,9,stop_loss,1.7871,0.4122,0.08,NEUTRAL
TSLA,2022-03-08,2022-03-14,824.79,779.33,10,-454.61,-0.0551,4,stop_loss,1.6871,0.3891,0.08,NEUTRAL
HAL,2022-03-09,2022-03-14,34.87,35.33,237,110.12,0.0133,3,stop_loss,2.2113,0.51,0.08,NEUTRAL
PFE,2022-03-09,2022-03-22,48.78,52.97,169,707.68,0.0858,9,stop_loss,1.7973,0.4146,0.08,NEUTRAL
HAL,2022-03-14,2022-03-29,36.39,36.07,228,-71.94,-0.0087,11,stop_loss,1.722,0.3972,0.08,NEUTRAL
AMD,2022-03-17,2022-03-31,111.74,117.87,73,447.34,0.0548,10,stop_loss,1.8393,0.4242,0.08,NEUTRAL
MRVL,2022-03-18,2022-03-31,71.37,71.67,116,34.8,0.0042,9,stop_loss,2.0847,0.4808,0.08,NEUTRAL
SHOP,2022-03-18,2022-03-31,693.3,686.86,12,-77.28,-0.0093,9,stop_loss,1.9384,0.4471,0.08,NEUTRAL
COIN,2022-03-21,2022-04-01,176.87,188.73,47,557.58,0.0671,9,stop_loss,2.0306,0.4684,0.08,NEUTRAL
NVDA,2022-03-23,2022-04-01,256.21,269.18,33,427.87,0.0506,7,stop_loss,1.7918,0.4133,0.08,NEUTRAL
SQ,2022-03-25,2022-04-01,130.44,133.13,66,177.78,0.0206,5,stop_loss,1.7414,0.4017,0.08,NEUTRAL
PYPL,2022-03-16,2022-04-06,107.97,115.44,76,567.57,0.0692,15,stop_loss,1.815,0.4186,0.08,NEUTRAL
SNOW,2022-03-21,2022-04-06,213.12,221.38,39,322.26,0.0388,12,stop_loss,2.0052,0.4625,0.08,NEUTRAL
META,2022-03-25,2022-04-06,222.26,226.47,38,159.81,0.0189,8,stop_loss,1.7539,0.4045,0.08,NEUTRAL
CCL,2022-04-01,2022-04-06,20.06,20.15,425,39.73,0.0047,3,stop_loss,1.6611,0.3831,0.08,NEUTRAL
GE,2022-04-04,2022-04-06,92.07,89.34,92,-250.8,-0.0296,2,stop_loss,2.02,0.4659,0.08,NEUTRAL
NCLH,2022-04-05,2022-04-07,22.17,20.22,388,-756.64,-0.088,2,stop_loss,1.8421,0.4249,0.08,NEUTRAL
WFC,2022-04-11,2022-04-13,49.35,47.71,170,-278.3,-0.0332,2,stop_loss,1.6616,0.3832,0.08,NEUTRAL
ADBE,2022-04-05,2022-04-21,459.1,417.66,18,-745.9,-0.0903,11,stop_loss,1.7705,0.4084,0.08,NEUTRAL
DE,2022-04-12,2022-04-21,420.07,432.11,19,228.74,0.0287,6,stop_loss,1.6676,0.3846,0.08,NEUTRAL
GIS,2022-04-25,2022-04-29,72.25,71.0,115,-144.3,-0.0174,4,stop_loss,1.8611,0.4293,0.08,NEUTRAL
PEP,2022-04-29,2022-05-03,171.85,168.11,48,-179.49,-0.0218,2,stop_loss,1.7508,0.4038,0.08,NEUTRAL
MA,2022-05-02,2022-05-05,359.41,349.7,23,-223.41,-0.027,3,stop_loss,1.6899,0.3898,0.08,NEUTRAL
META,2022-05-03,2022-05-06,212.08,205.88,39,-241.74,-0.0292,3,stop_loss,1.8001,0.4152,0.08,NEUTRAL
SHOP,2022-05-04,2022-05-06,486.06,390.37,17,-1626.65,-0.1969,2,stop_loss,1.8561,0.4281,0.08,NEUTRAL
PYPL,2022-05-04,2022-05-09,92.76,78.9,89,-1233.49,-0.1494,3,stop_loss,1.6559,0.3819,0.08,NEUTRAL
MRVL,2022-05-05,2022-05-09,58.49,54.94,143,-508.0,-0.0607,2,stop_loss,1.8475,0.4261,0.08,NEUTRAL
FITB,2022-05-09,2022-05-12,36.83,35.53,219,-285.78,-0.0354,3,stop_loss,1.6716,0.3856,0.08,NEUTRAL
